               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  10,             0.13753,            0.016606,           0.0015301,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058569,           0.0058569,           0.0058569
                  11,             0.13209,            0.017462,           0.0014319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053344,           0.0053344,           0.0053344
                  12,             0.12962,            0.015603,           0.0011005,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048118,           0.0048118,           0.0048118
                  13,             0.12792,            0.016996,           0.0010173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042893,           0.0042893,           0.0042893
                  14,             0.12425,            0.015553,          0.00079868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037667,           0.0037667,           0.0037667
                  15,             0.12097,            0.015872,          0.00098116,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032441,           0.0032441,           0.0032441
                  16,             0.12136,            0.015358,          0.00074597,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027216,           0.0027216,           0.0027216
                  17,             0.12001,            0.015585,          0.00060663,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002199,            0.002199,            0.002199
                  18,             0.11736,            0.015221,          0.00053173,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016765,           0.0016765,           0.0016765
                  19,              0.1163,            0.016484,          0.00040286,             0.49575,             0.24563,              0.2303,            0.074934,             0.11157,            0.011874,            0.001487,           0.0011539,           0.0011539,           0.0011539
                   0,             0.21458,            0.031487,            0.045902,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.094407,             0.00123,             0.00123
                   1,             0.19709,            0.023661,             0.02755,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.084244,           0.0024552,           0.0024552
                   2,             0.18558,            0.019085,            0.013451,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.073947,           0.0035464,           0.0035464
                   3,             0.18109,            0.017535,           0.0068109,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.063516,           0.0045038,           0.0045038
                   4,             0.17386,            0.016848,           0.0038932,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.052951,           0.0053272,           0.0053272
                   5,             0.17189,            0.016507,            0.003452,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.042252,           0.0060167,           0.0060167
                   6,             0.16945,            0.016749,           0.0027862,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.03142,           0.0065723,           0.0065723
